timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
12479792,-44.824,-82.176,740.000,-1.992,-1.992,1380.000,t=15.1854715347
12481179,0.000,0.000,49390.000,-1.992,-1.992,48750.000,t=15.2355957031
12529796,-171.824,-97.118,50127.000,-1.992,-1.992,50128.000,t=15.2857160568
12580073,-5759.823,-67.235,50130.000,-1.992,-1.992,50129.000,t=15.3358316421
12630214,52.294,-67.235,50129.000,-1.992,-1.992,50129.000,t=15.3859395980
12680326,29.882,-37.353,50131.000,-1.992,-1.992,50131.000,t=15.4360599517
12730459,-201.706,-395.941,760.000,-1.992,-1.992,1381.000,t=15.4861755371
12731828,-14.941,-7.471,49369.000,-1.992,-1.992,48749.000,t=15.5362958908
12780577,-321.235,395.941,50133.000,-1.992,-1.992,50135.000,t=15.5864076614
12830730,-141.941,59.765,50127.000,-1.992,-1.992,50124.000,t=15.6365242004
12880852,-37.353,7.471,50123.000,-1.992,-1.992,50123.000,t=15.6866359710
12930952,97.118,224.118,50129.000,-1.992,-1.992,50129.000,t=15.7367477416
12981097,-201.706,22.412,50126.000,-1.992,-1.992,50127.000,t=15.7868556976
13031226,-5864.411,1695.823,50121.000,-1.992,-1.992,50120.000,t=15.8369684219
13081372,194.235,-1778.000,50129.000,-1.992,-1.992,50129.000,t=15.8870801925
13131484,336.176,-14.941,50129.000,-1.992,-1.992,50129.000,t=15.9371919631
13181610,7.471,-134.471,50136.000,-1.992,-1.992,50136.000,t=15.9873037338
13231716,-5744.882,1673.412,50131.000,-1.992,-1.992,50131.000,t=16.0374240875
13281889,0.000,0.000,777.000,-1.992,-1.992,1380.000,t=16.0875434875
13283114,5737.411,14.941,49355.000,-1.992,-1.992,48753.000,t=16.1376590728
13332019,-7.471,14.941,50130.000,-1.992,-1.992,50131.000,t=16.1877727508
13382119,14.941,89.647,50135.000,-1.992,-1.992,50133.000,t=16.2378921508
13432270,171.824,0.000,761.000,-1.992,-1.992,1380.000,t=16.2880077362
